"T_2_1","T_2_10","T_2_12","T_2_2","T_2_3","T_2_6","T_2_7","T_2_9","T_3_2","T_3_3","T_3_5","T_4_3","T_4_4","T_4_5","T_4_6","T_4_7","T_5_2","T_5_3","T_5_4","T_5_5","T_6_2","T_6_5","T_6_7","T_6_8","T_9_1","T_9_2","T_9_3","T_9_4","T_9_5","V_1_2","V_10_1","V_11_1","V_11_2","V_11_3","V_12_1","V_12_2","V_13_1","V_13_2","V_14_1","V_14_2","V_14_3","V_15_1","V_15_2","V_15_3","V_16_1","V_16_2","V_17_1","V_17_2","V_18_1","V_18_2","V_18_3","V_18_4","V_19_1","V_19_2","V_19_3","V_2_1","V_2_2","V_2_3","V_20_1","V_21_1","V_21_4","V_22_1","V_22_3","V_22_4","V_3_1","V_3_2","V_4_1","V_4_2","V_5_1","V_5_3","V_6_1","V_6_2","V_6_3","V_7_1","V_7_2","V_7_3","V_8_2","V_9_1","V_9_2","V_9_3","V_9_4"
"V_18_3",11,6,6,13,13,17,6,16,14,10,8,9,17,15,15,13,14,13,9,9,7,12,14,15,2,12,10,12,12,12,15,18,16,18,15,15,14,15,14,8,15,16,18,18,13,14,15,15,13,15,18,18,14,17,18,10,16,15,15,15,16,18,17,18,17,18,16,18,13,18,17,16,18,14,18,18,18,15,15,11,18
"V_18_4",13,6,6,15,15,21,7,21,16,11,8,9,20,19,19,13,17,16,10,10,8,14,17,16,2,14,12,15,15,14,18,22,17,22,17,16,15,18,18,9,18,19,21,22,17,19,18,19,16,18,18,26,18,20,21,12,17,17,19,17,18,22,19,21,20,19,17,22,15,21,19,19,23,17,24,23,20,19,16,12,23
"V_19_1",14,7,6,15,15,18,7,18,16,12,9,9,17,16,16,13,16,16,10,11,9,15,16,15,2,15,13,16,15,14,17,16,15,17,15,15,15,18,19,9,17,18,18,18,16,19,17,19,15,17,14,18,19,17,16,12,15,15,17,16,16,16,15,16,16,16,15,16,15,17,17,18,17,15,17,18,16,18,14,12,16
"V_19_2",13,6,6,15,15,19,7,19,16,11,8,9,19,17,17,13,17,16,10,10,8,14,16,16,2,14,12,15,14,14,17,19,17,19,16,16,15,17,17,9,17,18,19,19,16,17,18,18,15,17,17,20,17,20,19,11,17,16,17,16,17,19,18,19,19,18,17,19,15,20,19,19,19,16,20,20,19,18,16,12,19
"V_19_3",13,6,6,15,15,19,7,18,16,11,8,9,19,18,18,13,16,15,10,10,8,14,17,16,2,14,12,14,14,13,16,20,17,21,16,16,15,16,16,8,17,17,20,21,15,16,17,17,14,16,18,21,16,19,21,11,17,16,16,16,17,21,18,20,19,19,17,21,14,20,18,18,21,15,21,21,20,17,16,12,21
"V_2_1",11,6,5,11,11,12,5,12,11,8,7,8,11,11,11,9,11,11,7,8,7,10,11,10,1,10,10,10,10,11,12,11,11,11,11,11,11,12,12,7,11,12,12,12,12,12,11,12,12,12,10,12,12,11,11,12,11,11,12,12,12,11,10,11,11,11,10,11,11,11,11,11,11,11,11,11,11,12,11,11,11
"V_2_2",12,6,6,14,14,16,6,16,15,10,8,9,17,15,15,13,15,14,9,9,7,13,14,15,2,13,11,13,13,13,16,18,17,18,16,16,15,16,15,8,15,17,18,18,14,15,16,16,14,16,16,17,15,17,17,11,18,16,16,16,17,18,16,17,17,17,15,17,14,17,17,17,17,15,18,18,17,16,16,12,17
"V_2_3",12,6,6,14,14,15,6,16,15,10,8,9,16,16,16,13,14,14,9,9,7,13,14,14,2,13,11,13,13,13,16,17,16,17,16,16,15,16,15,8,15,16,16,16,14,15,16,16,14,16,15,17,15,16,16,11,16,17,16,16,16,17,15,16,16,16,15,17,14,16,16,16,17,15,17,17,16,16,15,12,17
"V_20_1",12,6,6,14,14,17,6,17,15,10,8,9,17,15,15,13,15,15,9,9,7,13,14,14,2,13,11,14,14,14,18,17,16,16,17,16,15,18,17,9,16,18,17,17,16,18,17,18,16,18,15,19,17,17,16,12,16,16,19,17,17,16,16,17,17,16,15,16,15,17,17,17,17,17,18,17,16,18,15,12,17
"V_21_1",12,6,6,14,14,16,6,16,15,10,8,9,16,15,15,13,14,14,9,9,7,13,14,14,2,13,11,13,13,13,17,16,16,16,16,16,15,17,16,8,15,17,17,17,15,16,16,17,15,17,15,17,16,16,16,12,16,16,17,17,17,16,15,16,16,16,15,16,14,16,16,16,16,15,16,16,16,17,15,12,16
"V_21_4",12,6,6,14,14,17,6,17,15,10,8,9,17,15,15,13,15,14,9,9,7,13,14,15,2,13,11,13,13,13,17,17,17,17,16,16,15,17,16,8,15,18,18,18,15,16,16,17,15,17,16,18,16,17,17,12,17,16,17,17,18,17,16,17,17,17,15,17,14,17,17,17,17,15,17,17,17,17,16,12,17
"V_22_1",14,6,6,16,16,21,7,20,17,12,9,9,20,21,21,14,17,16,10,10,8,15,19,18,2,14,12,14,14,13,16,24,18,26,16,16,15,16,16,8,17,17,22,23,15,16,17,17,14,16,18,22,16,19,21,11,18,17,16,16,17,31,19,21,19,19,18,24,14,21,18,18,23,15,26,29,20,17,17,12,23
"V_22_3",12,6,6,14,14,18,7,17,15,11,8,9,19,16,17,13,15,14,10,10,8,13,16,17,2,13,11,13,14,12,15,18,16,19,16,15,14,15,15,8,15,16,18,18,14,16,16,16,13,15,17,19,15,18,18,10,16,15,16,15,16,19,20,19,19,17,18,19,13,18,17,17,20,15,19,19,18,16,15,11,19
"V_22_4",13,6,6,15,15,19,7,18,16,11,8,9,20,17,17,13,16,15,10,10,8,14,16,16,2,14,12,14,15,13,16,19,17,21,17,16,15,16,16,8,17,17,20,20,15,17,17,17,14,16,18,21,16,19,20,11,17,16,17,16,17,21,19,22,20,19,17,20,14,20,18,18,21,16,21,21,20,17,16,12,21
"V_3_1",13,6,6,15,15,18,7,18,16,11,8,9,20,17,17,13,16,15,10,10,8,14,16,16,2,14,12,14,15,13,16,18,17,19,17,16,15,16,16,8,16,17,19,19,15,17,17,17,14,16,17,20,16,19,19,11,17,16,17,16,17,19,19,20,20,18,17,19,14,19,18,18,20,16,20,19,19,17,16,12,20
"V_3_2",13,7,6,15,15,19,6,18,16,11,9,9,19,17,17,14,16,15,10,10,8,14,16,16,2,14,12,14,14,13,16,19,17,20,16,16,16,17,16,8,17,18,20,20,14,16,16,17,14,16,18,19,16,18,19,11,17,16,16,16,17,19,17,19,18,21,16,20,14,19,19,18,20,15,20,21,19,16,16,12,19
"V_4_1",12,6,6,14,14,17,7,16,15,11,8,9,17,16,17,13,14,14,10,10,8,13,16,16,2,13,11,13,13,12,15,17,15,18,15,15,14,15,15,8,15,15,17,17,14,15,16,16,13,15,16,17,15,17,17,10,15,15,15,15,15,18,18,17,17,16,18,18,13,17,16,16,18,14,17,18,17,16,14,11,17
"V_4_2",13,6,6,15,15,20,7,19,16,11,8,9,19,19,20,13,16,15,10,10,8,14,18,17,2,14,12,14,14,13,16,23,17,23,16,16,15,16,16,8,17,17,20,21,15,16,17,17,14,16,18,22,16,19,21,11,17,17,16,16,17,24,19,20,19,20,18,26,14,20,18,18,23,15,24,25,20,17,16,12,22
